0.01:  210.8763,170.0384,253.2,
ParticipantNo: 2
Repetition?: Full
DSPType: 1
Encoding Tours: 2
!!1_dsp1_08
0:  132.7,10.91,7.199981,
0.01:  132.7,10.91,7.199981,
0.02:  132.7,10.91,7.199981,box 10,4
0.02:  132.7,10.91,7.199981,box 10,4
0.02:  132.7,10.91,7.199981,box 10,4
0.03:  132.7,10.91,7.199981,box 10,4
0.03:  132.7,10.91,7.199981,box 10,4
0.03:  132.7,10.91,7.199981,box 10,4
0.04:  132.7,10.91,7.199981,box 10,4
0.04:  132.7,10.91,7.199981,box 10,4
0.05:  132.7,10.91,7.199981,box 10,4
0.05:  132.7,10.91,7.199981,box 10,4
0.05:  132.7,10.91,7.199981,box 10,4
0.06:  132.7,10.91,7.199981,box 10,4
0.06:  132.7,10.91,7.199981,box 10,4
0.06:  132.7,10.91,7.199981,box 10,4
0.07:  132.7,10.91,7.199981,box 10,4
0.07:  132.7,10.91,7.199981,box 10,4
0.08:  132.7,10.91,7.199981,box 10,4
0.08:  132.7,10.91,7.199981,box 10,4
0.09:  132.7,10.91,7.199981,box 10,4
0.09:  132.7,10.91,7.199981,box 10,4
0.09:  132.7,10.91,7.199981,box 10,4
0.1:  132.7,10.91,7.199981,box 10,4
0.1:  132.7,10.91,7.199981,box 10,4
0.1:  132.7,10.91,7.199981,box 10,4
0.11:  132.7,10.91,7.199981,box 10,4
0.11:  132.7,10.91,7.199981,box 10,4
0.12:  132.7,10.91,7.199981,box 10,4
0.12:  132.7,10.91,7.199981,box 10,4
0.12:  132.7,10.91,7.199981,box 10,4
0.13:  132.7,10.91,7.199981,box 10,4
0.13:  132.7,10.91,7.199981,box 10,4
0.14:  132.7,10.91,7.199981,box 10,4
0.14:  132.7,10.91,7.199981,box 10,4
0.14:  132.7,10.91,7.199981,box 10,4
0.15:  132.7,10.91,7.199981,box 10,4
0.15:  132.7,10.91,7.199981,box 10,4
0.16:  132.7,10.91,7.199981,box 10,4
0.16:  132.7,10.91,7.199981,box 10,4
0.17:  132.7,10.91,7.199981,box 10,4
0.17:  132.7,10.91,7.199981,box 10,4
0.17:  132.7,10.91,7.199981,box 10,4
0.18:  132.7,10.91,7.199981,box 10,4
0.18:  132.7,10.91,7.199981,box 10,4
0.19:  132.7,10.91,7.199981,box 10,4
0.19:  132.7,10.91,7.199981,box 10,4
0.19:  132.7,10.91,7.199981,box 10,4
0.2:  132.7,10.91,7.199981,box 10,4
0.2:  132.7,10.91,7.199981,box 10,4
0.2:  132.7,10.91,7.199981,box 10,4
0.21:  132.7,10.91,7.199981,box 10,4
0.21:  132.7,10.91,7.199981,box 10,4
0.22:  132.7,10.91,7.199981,box 10,4
0.22:  132.7,10.91,7.199981,box 10,4
0.22:  132.7,10.91,7.199981,box 10,4
0.23:  132.7,10.91,7.199981,box 10,4
0.23:  132.7,10.91,7.199981,box 10,4
0.23:  132.7,10.91,7.199981,box 10,4
0.24:  132.7,10.91,7.199981,box 10,4
0.24:  132.7,10.91,7.199981,box 10,4
0.24:  132.7,10.91,7.199981,box 10,4
0.25:  132.7,10.91,7.199981,box 10,4
0.25:  132.7,10.91,7.199981,box 10,4
0.26:  132.7,10.91,7.199981,box 10,4
0.26:  132.7,10.91,7.199981,box 10,4
0.26:  132.7,10.91,7.199981,box 10,4
0.27:  132.7,10.91,7.199981,box 10,4
0.27:  132.7,10.91,7.199981,box 10,4
0.27:  132.7,10.91,7.199981,box 10,4
0.28:  132.7,10.91,7.199981,box 10,4
0.29:  132.7,10.91,7.199981,box 10,4
0.29:  132.7,10.91,7.199981,box 10,4
0.29:  132.7,10.91,7.199981,box 10,4
0.3:  132.7,10.91,7.199981,box 10,4
0.3:  132.7,10.91,7.199981,box 10,4
0.3:  132.7,10.91,7.199981,box 10,4
0.31:  132.7,10.91,7.199981,box 10,4
0.31:  132.7,10.91,7.199981,box 10,4
0.32:  132.7,10.91,7.39998,box 10,4
0.32:  132.7,10.91,7.39998,box 10,4
0.32:  132.7,10.91,8.399981,box 10,4
0.33:  132.7,10.91,8.399981,box 10,4
0.33:  132.7,10.91,9.699981,box 10,4
0.34:  132.7,10.91,9.699981,box 10,4
0.34:  132.7,10.91,11.19998,box 10,4
0.34:  132.7,10.91,11.19998,box 10,4
0.35:  132.7,10.91,12.79998,box 10,4
0.35:  132.7,10.91,12.79998,box 10,4
0.36:  132.7,10.91,14.49998,box 10,4
0.36:  132.7,10.91,14.49998,box 10,4
0.36:  132.7,10.91,16.19998,box 10,4
0.37:  132.7,10.91,17.79998,box 10,4
0.38:  132.7,10.91,17.79998,box 10,4
0.38:  132.7,10.91,19.59998,box 10,4
0.39:  132.7,10.91,21.19998,box 10,4
0.39:  132.7,10.91,21.19998,box 10,4
0.4:  132.7,10.91,22.89998,box 10,4
0.4:  132.7,10.91,22.89998,box 10,4
0.4:  132.7,10.91,24.49998,box 10,4
0.41:  132.7,10.91,24.49998,box 10,4
0.41:  132.7,10.91,24.49998,box 10,4
0.41:  132.7,10.91,25.99998,box 10,4
0.42:  132.7,10.91,25.99998,box 10,4
0.42:  132.7,10.91,27.39998,box 10,4
0.42:  132.7,10.91,27.39998,box 10,4
0.43:  132.7,10.91,28.59998,box 10,4
0.43:  132.7,10.91,28.59998,box 10,4
0.44:  132.7,10.91,29.89998,box 10,4
0.44:  132.7,10.91,29.89998,box 10,4
0.44:  132.7,10.91,29.89998,box 10,4
0.45:  132.7,10.91,31.29998,box 10,4
0.45:  132.7,10.91,31.29998,box 10,4
0.45:  132.7,10.91,32.99998,box 10,4
0.46:  132.7,10.91,32.99998,box 10,4
0.46:  132.7,10.91,34.89998,box 10,4
0.46:  132.7,10.91,34.89998,box 10,4
0.47:  132.7,10.91,36.89998,box 10,4
0.47:  132.7,10.91,36.89998,box 10,4
0.47:  132.7,10.91,36.89998,box 10,4
0.48:  132.7,10.91,39.29998,box 10,4
0.48:  132.7,10.91,39.29998,box 10,4
0.49:  132.7,10.91,41.69999,box 10,4
0.49:  132.7,10.91,41.69999,box 10,4
0.49:  132.7,10.91,43.99999,box 10,4
0.5:  132.7,10.91,43.99999,box 10,4
0.5:  132.7,10.91,43.99999,box 10,4
0.5:  132.7,10.91,46.09999,box 10,4
0.5:  132.7,10.91,46.09999,box 10,4
0.51:  132.7,10.91,48.09999,box 10,4
0.51:  132.7,10.91,48.09999,box 10,4
0.51:  132.7,10.91,48.09999,box 10,4
0.52:  132.7,10.91,49.99998,box 10,4
0.52:  132.7,10.91,49.99998,box 10,4
0.52:  132.7,10.91,49.99998,box 10,4
0.52:  132.7,10.91,51.89999,box 10,4
0.53:  132.7,10.91,51.89999,box 10,4
0.53:  132.7,10.91,51.89999,box 10,4
0.53:  132.7,10.91,53.69998,box 10,4
0.53:  132.7,10.91,53.69998,box 10,4
0.54:  132.7,10.91,53.69998,box 10,4
0.54:  132.7,10.91,55.49998,box 10,4
0.54:  132.7,10.91,55.49998,box 10,4
0.54:  132.7,10.91,55.49998,box 10,4
0.55:  132.7,10.91,57.59998,box 10,4
0.55:  132.7,10.91,57.59998,box 10,4
0.55:  132.7,10.91,57.59998,box 10,4
0.56:  132.7,10.91,59.69998,box 10,4
0.56:  132.7,10.91,59.69998,box 10,4
0.56:  132.7,10.91,59.69998,box 10,4
0.56:  132.7,10.91,61.79998,box 10,4
0.57:  132.7,10.91,61.79998,box 10,4
0.57:  132.7,10.91,61.79998,box 10,4
0.57:  132.7,10.91,63.99997,box 10,4
0.58:  132.7,10.91,63.99997,box 10,4
0.58:  132.7,10.91,63.99997,box 10,4
0.58:  132.7,10.91,66.09998,box 10,4
0.59:  132.7,10.91,66.09998,box 10,4
0.59:  132.7,10.91,67.89998,box 10,4
0.59:  132.7,10.91,67.89998,box 10,4
0.6:  132.7,10.91,69.69997,box 10,4
0.6:  132.7,10.91,69.69997,box 10,4
0.6:  132.7,10.91,69.69997,box 10,4
0.6:  132.7,10.91,71.19998,box 10,4
0.61:  132.7,10.91,71.19998,box 10,4
0.61:  132.7,10.91,71.19998,box 10,4
0.61:  132.7,10.91,72.79998,box 10,4
0.62:  132.7,10.91,72.79998,box 10,4
0.62:  132.7,10.91,72.79998,box 10,4
0.62:  132.7,10.91,74.09998,box 10,4
0.62:  132.7,10.91,74.09998,box 10,4
0.63:  132.7,10.91,74.09998,box 10,4
0.63:  132.7,10.91,75.39998,box 10,4
0.63:  132.7,10.91,75.39998,box 10,4
0.63:  132.7,10.91,75.39998,box 10,4
0.64:  132.7,10.91,76.69998,box 10,4
0.64:  132.7,10.91,76.69998,box 10,4
0.64:  132.7,10.91,76.69998,box 10,4
0.65:  132.7,10.91,77.79998,box 10,4
0.65:  132.7,10.91,77.79998,box 10,4
0.65:  132.7,10.91,77.79998,box 10,4
0.65:  132.7,10.91,78.99998,box 10,4
0.66:  132.7,10.91,78.99998,box 10,4
0.66:  132.7,10.91,78.99998,box 10,4
0.66:  132.7,10.91,80.09998,box 10,4
0.66:  132.7,10.91,80.09998,box 10,4
0.67:  132.7,10.91,81.19998,box 10,4
0.67:  132.7,10.91,81.19998,box 10,4
0.67:  132.7,10.91,81.19998,box 10,4
0.68:  132.7,10.91,82.39999,box 10,4
0.68:  132.7,10.91,82.39999,box 10,4
0.68:  132.7,10.91,82.39999,box 10,4
0.69:  132.7,10.91,83.99998,box 10,4
0.69:  132.7,10.91,83.99998,box 10,4
0.69:  132.7,10.91,85.59999,box 10,4
0.7:  132.7,10.91,85.59999,box 10,4
0.7:  132.7,10.91,85.59999,box 10,4
0.7:  132.7,10.91,87.39999,box 10,4
0.7:  132.7,10.91,87.39999,box 10,4
0.71:  132.7,10.91,87.39999,box 10,4
0.71:  132.7,10.91,89.29999,box 10,4
0.71:  132.7,10.91,89.29999,box 10,4
0.71:  132.7,10.91,89.29999,box 10,4
0.72:  132.7,10.91,90.89999,box 10,4
0.72:  132.7,10.91,90.89999,box 10,4
0.72:  132.7,10.91,90.89999,box 10,4
0.72:  132.7,10.91,92.49999,box 10,4
0.73:  132.7,10.91,92.49999,box 10,4
0.73:  132.7,10.91,92.49999,box 10,4
0.73:  132.7,10.91,93.99998,box 10,4
0.74:  132.7,10.91,93.99998,box 10,4
0.74:  132.7,10.91,93.99998,box 10,4
0.74:  132.7,10.91,95.19999,box 10,4
0.74:  132.7,10.91,95.19999,box 10,4
0.75:  132.7,10.91,95.19999,box 10,4
0.75:  132.7,10.91,96.3,box 10,4
0.75:  132.7,10.91,96.3,box 10,4
0.75:  132.7,10.91,96.3,box 10,4
0.76:  132.7,10.91,97.29999,box 10,4
0.76:  132.7,10.91,97.29999,box 10,4
0.76:  132.7,10.91,97.29999,box 10,4
0.77:  132.7,10.91,98.09998,box 10,4
0.77:  132.7,10.91,98.09998,box 10,4
0.77:  132.7,10.91,98.8,box 10,4
0.78:  132.7,10.91,98.8,box 10,4
0.78:  132.7,10.91,98.8,box 10,4
0.78:  132.7,10.91,99.39999,box 10,4
0.79:  132.7,10.91,99.8,box 10,4
0.79:  132.7,10.91,99.8,box 10,4
0.79:  132.7,10.91,99.8,box 10,4
0.8:  132.7,10.91,100.1,box 10,4
0.8:  132.7,10.91,100.1,box 10,4
0.8:  132.7,10.91,100.1,box 10,4
0.8:  132.7,10.91,100.2,box 10,4
0.81:  132.7,10.91,100.2,box 10,4
0.81:  132.7,10.91,100.2,box 10,4
0.81:  132.7,10.91,100.2,box 10,4
0.81:  132.7,10.91,100.3,box 10,4
0.82:  132.7,10.91,100.3,box 10,4
0.82:  132.7,10.91,100.4,box 10,4
0.82:  132.7,10.91,100.4,box 10,4
0.82:  132.7,10.91,100.4,box 10,4
0.83:  132.7,10.91,100.4,box 10,4
0.83:  132.7,10.91,100.4,box 10,4
0.83:  132.7,10.91,100.4,box 10,4
0.84:  132.7,10.91,100.4,box 10,4
0.84:  132.7,10.91,100.4,box 10,4
0.84:  132.7,10.91,100.4,box 10,4
0.84:  132.7,10.91,100.5,box 10,4
0.85:  132.7,10.91,100.5,box 10,4
0.85:  132.7,10.91,100.5,box 10,4
0.85:  132.7,10.91,100.5,box 10,4
0.85:  132.7,10.91,100.5,box 10,4
0.86:  132.7,10.91,100.5,box 10,4
0.86:  132.7,10.91,100.5,box 10,4
0.86:  132.7,10.91,100.5,box 10,4
0.86:  132.7,10.91,100.5,box 10,4
0.87:  132.7,10.91,100.5,box 10,4
0.87:  132.7,10.91,100.5,box 10,4
0.87:  132.7,10.91,100.5,box 10,4
0.87:  132.7,10.91,100.5,box 10,4
0.88:  132.7,10.91,100.5,box 10,4
0.88:  132.7,10.91,100.5,box 10,4
0.88:  132.7,10.91,100.5,box 10,4
0.88:  132.7,10.91,100.5,box 10,4
0.89:  132.7,10.91,100.5,box 10,4
0.89:  132.7,10.91,100.5,box 10,4
0.89:  132.7,10.91,100.5,box 10,4
0.89:  132.7,10.91,100.5,box 10,4
0.9:  132.7,10.91,100.5,box 10,4
0.9:  132.7,10.91,100.5,box 10,4
