0.02:  216.6446,192.1361,179.6,
ParticipantNo: Zach
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 2
!!1_dsp1_02
0.01:  174.2,171.2,285.6,
0.02:  174.2,171.2,285.6,box 2,2
0.03:  174.2,171.2,285.6,box 2,2
0.04:  174.2,171.2,285.6,box 2,2
0.05:  174.2,171.2,285.6,box 2,2
0.06:  174.2,171.2,285.6,box 2,2
0.07:  174.2,171.2,285.6,box 2,2
0.08:  174.2,171.2,285.6,box 2,2
0.09:  174.2,171.2,285.6,box 2,2
0.1:  174.2,171.2,285.6,box 2,2
0.11:  174.2,171.2,285.6,box 2,2
0.13:  174.2,171.2,285.7,box 2,2
0.14:  174.2,171.2,285.7,box 2,2
0.14:  174.2,171.2,285.7,box 2,2
0.15:  174.2,171.2,285.7,box 2,2
0.16:  174.2,171.2,285.7,box 2,2
0.17:  174.2,171.2,285.7,box 2,2
0.18:  174.2,171.2,285.7,box 2,2
0.19:  174.2,171.2,285.8,box 2,2
0.21:  174.2,171.2,286.2,box 2,2
0.22:  174.2,171.2,286.3,box 2,2
0.23:  174.2,171.2,286.5,box 2,2
0.24:  174.2,171.2,286.6,box 2,2
0.25:  174.2,171.2,286.7,box 2,2
0.26:  174.2,171.2,287,box 2,2
0.27:  174.2,171.2,287,box 2,2
0.28:  174.2,171.2,287.1,box 2,2
0.29:  174.2,171.2,287.1,box 2,2
0.3:  174.2,171.2,287.1,box 2,2
0.31:  174.2,171.2,287.1,box 2,2
0.31:  174.2,171.2,287.1,box 2,2
0.32:  174.2,171.2,287.1,box 2,2
0.33:  174.2,171.2,287.1,box 2,2
0.34:  174.2,171.2,287.1,box 2,2
0.35:  174.2,171.2,287.1,box 2,2
0.36:  174.2,171.2,287.1,box 2,2
0.37:  174.2,171.2,287.1,box 2,2
0.38:  174.2,171.2,287.1,box 2,2
0.39:  174.2,171.2,287.1,box 2,2
0.4:  174.2,171.2,287.1,box 2,2
0.41:  174.2,171.2,287.1,box 2,2
0.42:  174.2,171.2,287.1,box 2,2
0.42:  174.2,171.2,287.1,box 2,2
0.43:  174.2,171.2,287.1,box 2,2
